(13.024634503110585, 17.69525077413607)
(13.0, 17.357789991499182)
(13.019324682750998, 17.106007500121258)
(13.021360539355214, 16.739591603335995)
(13.033958598717986, 16.387937262430214)
(13.045375988890221, 16.272863499324785)
(13.03723894446898, 15.906945398198236)
(13.02450048120247, 15.664544440388331)
(13.0298996495008, 15.389531484937214)
(13.02104143957399, 15.308250388663534)
(13.035515805650364, 15.1485600941472)
(13.036804968766514, 14.582962113921175)
(13.016363436781228, 13.722286184000591)
(13.019707602488468, 13.694575558998997)
(13.034386192424826, 13.656774998915061)
(13.035802995453466, 13.555728862192293)
(13.04602695244392, 13.518815399500163)
(13.064368807868746, 13.49017300313739)
(13.104115876618154, 13.450974786011686)
(13.23696987953345, 13.351938977910637)
(13.287745036722002, 13.325689829907052)
(13.332718959887881, 13.276567609585246)
(13.450651857033087, 13.178954986508462)
(13.541557002708519, 13.121555317861674)
(13.682784183883163, 13.010463920025936)
(13.755207070230034, 12.967385449560537)
(13.82448363273402, 12.91396814618344)
(13.903562940517249, 12.865184171629732)
(13.93427310346236, 12.83729485075065)
(14.01279079563063, 12.79301018311222)
(14.040214230829124, 12.76590584769495)
(14.07542370068951, 12.74811922588946)
(14.14070513393256, 12.697861010346491)
(14.170719659354601, 12.684248213679425)
(14.316682281282628, 12.57858789412014)
(14.359020440255586, 12.553838515088314)
(14.441552407671669, 12.52069042981464)
(14.487381518251231, 12.51455095002387)
(14.787711850344756, 12.521634965167069)
(14.853899526966483, 12.513663852632062)
(14.927586048447004, 12.52424520137749)
(15.275487775925582, 12.524532391180593)
(15.396215987154319, 12.538630219515122)
(15.851571374962665, 12.541374477633658)
(17.016560002246464, 12.5)
(17.088842484689593, 12.504620564832141)
(17.139196430166926, 12.516006045026256)
(17.484851695185675, 12.525834318287991)
(17.49104861293707, 12.558841999657925)
(17.49708598079785, 12.76224896420211)
(17.494029004893715, 13.24637438828572)
(17.510366913692444, 13.38566782478614)
(17.51370469740406, 13.481678566961175)
(17.518854967873033, 13.490957988599202)
(17.536143794019814, 13.49522116167637)
(17.680427951098597, 13.497327220232458)
(17.776834377002352, 13.509082856172794)
(17.965275561807076, 13.519332341145747)
(17.984989546291168, 13.53022002568115)
(17.99256497509745, 13.550182907994598)
(17.98299836365632, 14.000917730970803)
(17.99539219915911, 14.333534578928692)
(17.985851115700473, 14.40803799584915)
(17.982353782098247, 14.582930203943052)
(17.993126590712407, 15.003554771562849)
(17.990995004173826, 15.353281749790032)
(18.0, 15.453440789120995)
(17.989029349521477, 15.520585765086398)
(17.950801195730698, 15.527223040535883)
(17.65614445774736, 15.531818077385527)
(17.493237637436277, 15.519692285698968)
(17.47056878897804, 15.527733600185844)
(17.48441771948321, 16.120933711487847)
(17.466841703533326, 16.287235753471165)
(17.4649079588591, 16.591165531096912)
(17.412294786930694, 16.608103347484345)
(17.333489904959322, 16.621365134392065)
(16.92414870560365, 16.630478624143855)
(16.499324784862928, 16.629910626533274)
(16.47923426263699, 16.636969113693976)
(16.467721142530383, 16.66056973351339)
(16.463757923247567, 16.689977969351105)
(16.473873386312405, 16.742074199633926)
(16.47537953727979, 17.22828653628675)
(16.48977731940867, 17.596859547593095)
(16.482080632685516, 17.66573404437274)
(16.472539549226887, 17.673124395305912)
(16.427450750139766, 17.670022745432405)
(16.184232896889924, 17.55676785107996)
(16.03529626500088, 17.474714533335714)
(15.747544846283253, 17.333761777972924)
(15.374810773829733, 17.137062290830094)
(15.18346578101586, 17.025205053519414)
(14.880627324641907, 16.875145190400456)
(14.730841887334801, 16.77249717277594)
(14.541743356980755, 16.676237532771545)
(14.4556247080237, 16.64790147219875)
(14.430454117280657, 16.656198066510605)
(14.345382115606022, 16.717905582203933)
(14.058824130070176, 16.9620169148412)
(13.707099587212523, 17.209695783032572)
(13.565055510597942, 17.333589464091062)
(13.482121477457515, 17.390146709315417)
(13.319916676665127, 17.52333895799881)
(13.16198143094553, 17.638221261235504)
(13.095806518315051, 17.698301368044582)
(13.059735479045356, 17.70881251483814)
(13.032739637553705, 17.704160040027876)
(13.024634503110585, 17.69525077413607)
(None, None)
(13.097229703339316, 17.601116338674636)
(None, None)
(13.118654062650775, 17.584976271740267)
(13.152899851171862, 17.572671784176222)
(13.230747433799559, 17.504346139020285)
