(13.332995607697391, 15.596724840327903)
(13.0, 16.20822473958977)
(13.664193435482414, 16.398672748378953)
(14.190493557579805, 17.013984908861342)
(15.345551501793423, 16.803991690820247)
(15.052783062992148, 16.216740403440934)
(15.388191950087304, 15.367917073967448)
(16.969991397965064, 14.772767779155005)
(17.43465505976823, 15.2393070345601)
(17.47421437667254, 16.204480351412716)
(17.993904320793728, 15.725203002060114)
(18.0, 15.02081503301026)
(17.2863366344656, 14.293670838461988)
(17.288368136785692, 12.605662737810736)
(17.153957472490575, 12.5)
(16.57215724624147, 12.541953512137173)
(16.84988014206646, 12.890990579568552)
(16.539073767921625, 13.210823247922677)
(15.120172554986496, 13.210823247922677)
(14.900798789994548, 12.534509632804916)
(14.366916580761353, 12.506508544247897)
(14.338728050068747, 12.612253104829515)
(14.637969162390283, 12.913351172041562)
(14.637969162390283, 13.380315366622094)
(13.953128395410543, 14.08032206624244)
(13.779650640307024, 15.56532330057059)
(13.332995607697391, 15.596724840327902)
(None, None)
(14.323323682591495, 16.85529210644804)
(None, None)
(14.719073932598743, 15.934932464750938)
(15.192895766286332, 16.697962040011138)
(14.323323682591498, 16.85529210644804)
(None, None)
(14.190493557579805, 16.802101444143304)
(None, None)
(13.731647166557625, 16.265183469440785)
(13.155230362844462, 16.12356149942005)
(13.399549874415879, 15.7283973724134)
(13.795812982048655, 15.699589426933755)
(13.943282935695612, 15.964425588018287)
(13.92940506696113, 15.66878866325206)
(14.767728940675612, 15.36239978093817)
(14.70908053543846, 15.254004068800224)
(13.916730157073086, 15.535562905214963)
(14.057634126418085, 14.364987354560375)
(15.256519418001805, 15.330009568903439)
(14.957816483819423, 16.076349291721463)
(14.783209386918342, 15.77408671533182)
(14.650819909178505, 15.754465192865226)
(14.190493557579805, 16.802101444143304)
(None, None)
(17.571749229609306, 15.96053138680228)
(None, None)
(17.565694461788475, 15.185759423347996)
(17.06664308076452, 14.688190230167969)
(17.228178579730752, 14.429959089177236)
(17.862568809433576, 15.067074790832862)
(17.862568809433576, 15.66878866325206)
(17.571749229609306, 15.96053138680228)
(None, None)
(15.358827187757086, 15.2393070345601)
(None, None)
(14.077533002288561, 14.205928225271695)
(14.637969162390283, 13.57035109649265)
(14.644929373022444, 14.075486551487463)
(14.759026420811857, 14.10487710322971)
(14.830070975837966, 12.738144354086263)
(15.602830192908177, 15.150509399968723)
(15.358827187757086, 15.2393070345601)
(None, None)
(15.730077496339122, 15.094226938835805)
(None, None)
(15.290089612861351, 13.745513955222904)
(15.875860939664141, 14.077479369689515)
(17.152905733378294, 12.785547051760043)
(17.1538852621369, 14.206558893620343)
(16.937857204456996, 14.634545322537766)
(15.730077496339122, 15.094226938835806)
(None, None)
(15.848225240185704, 13.91134280516855)
(None, None)
(15.222758733167062, 13.548503361645167)
(15.163985249281582, 13.349236194515111)
(16.398448207001913, 13.349236194515111)
(15.8482252401857, 13.911342805168546)
(None, None)
(16.954781506099412, 12.797049715646882)
(None, None)
(16.79586890756088, 12.64263561113798)
(17.10258707377651, 12.64263561113798)
(16.954781506099415, 12.797049715646873)
(None, None)
(14.669854253623093, 12.757588984631273)
(None, None)
(14.557084188307046, 12.64263561113798)
(14.719073932598743, 12.64263561113798)
(14.669854253623095, 12.757588984631266)
(None, None)
(14.235727600151353, 16.258867994109284)
(None, None)
(13.922109125074222, 16.3327359036293)
(14.25952419397584, 16.383536356337576)
(14.235727600151352, 16.258867994109284)
(None, None)
(None, None)
