(14.7609243697479, 17.7827731092437)
(14.710638655462184, 17.547761344537815)
(14.740994957983194, 17.5002487394958)
(14.81986218487395, 17.6243731092437)
(14.867226890756303, 17.907563025210084)
(16.76218487394958, 17.907563025210084)
(16.27689075630252, 15.642857142857142)
(15.717905882352941, 15.6029243697479)
(14.728571428571428, 15.642857142857142)
(14.819418487394957, 15.889774789915966)
(15.025220168067227, 16.06488739495798)
(15.097173109243698, 16.26373781512605)
(15.130376470588235, 16.77635630252101)
(15.075210084033614, 16.983193277310924)
(15.00676974789916, 17.078957983193277)
(14.794682352941177, 17.239428571428572)
(14.56218487394958, 17.30672268907563)
(14.230410084033613, 17.183929411764705)
(14.006157983193276, 16.96289411764706)
(13.776470588235295, 16.07268907563025)
(13.679300840336134, 15.463788235294118)
(13.75543193277311, 15.627327731092437)
(13.95113949579832, 16.500376470588236)
(14.092531092436975, 16.930467226890755)
(14.27563025210084, 17.1218487394958)
(14.527613445378151, 17.204894117647058)
(14.759630252100841, 17.16392605042017)
(14.942840336134454, 17.021351260504204)
(15.048403361344539, 16.799576470588235)
(15.047478991596638, 16.521008403361343)
(14.970756302521009, 16.114951260504203)
(14.927495798319327, 16.033163025210083)
(14.800413445378151, 16.00735462184874)
(14.73526386554622, 15.950709243697478)
(14.645378151260504, 15.573529411764707)
(15.735875630252101, 15.547240336134454)
(16.33235294117647, 15.56890756302521)
(16.67510924369748, 17.11330756302521)
(16.822268907563025, 17.96764705882353)
(14.82563025210084, 18.0)
(14.7609243697479, 17.7827731092437)
(None, None)
(15.236974789915966, 17.454621848739496)
(None, None)
(15.75, 17.380672268907563)
(16.304769747899158, 17.38984201680672)
(16.169331092436977, 17.441458823529413)
(15.904850420168067, 17.46061176470588)
(15.236974789915966, 17.454621848739496)
(None, None)
(15.394117647058824, 16.946218487394958)
(None, None)
(15.931878991596639, 16.89696806722689)
(16.207563025210085, 16.936974789915965)
(15.786974789915966, 16.983193277310924)
(15.394117647058824, 16.946218487394958)
(None, None)
(14.52983193277311, 16.62731092436975)
(None, None)
(14.469932773109244, 16.382057142857143)
(14.492857142857144, 16.289915966386555)
(14.542440336134455, 16.35680336134454)
(14.582188235294117, 16.53783193277311)
(14.572426890756303, 16.644689075630254)
(14.52983193277311, 16.62731092436975)
(None, None)
(15.37563025210084, 16.521008403361343)
(None, None)
(15.354406722689076, 16.490763025210082)
(15.421035294117647, 16.47649075630252)
(15.966635294117648, 16.44654117647059)
(16.11512605042017, 16.474789915966387)
(16.103589915966385, 16.516793277310924)
(15.768487394957983, 16.54873949579832)
(15.37563025210084, 16.521008403361343)
(None, None)
(15.306302521008403, 16.058823529411764)
(None, None)
(15.42935462184874, 16.014749579831932)
(15.984826890756302, 15.968642016806722)
(16.018178151260503, 15.991640336134454)
(15.933690756302521, 16.058823529411764)
(15.76586218487395, 16.08710924369748)
(15.394931092436975, 16.090436974789917)
(15.306302521008403, 16.058823529411764)
(None, None)
(15.745378151260503, 15.139075630252101)
(None, None)
(15.972994957983193, 15.072521008403362)
(16.190998319327733, 15.104467226890756)
(15.911099159663866, 15.17235294117647)
(15.745378151260503, 15.139075630252101)
(None, None)
(15.676050420168067, 14.764705882352942)
(None, None)
(15.867875630252101, 14.7210756302521)
(16.133280672268906, 14.7474756302521)
(15.909989915966387, 14.807966386554622)
(15.698642016806723, 14.793546218487394)
(15.676050420168067, 14.764705882352942)
(None, None)
(13.878151260504202, 14.376470588235295)
(None, None)
(13.539721008403362, 14.15384537815126)
(13.38361344537815, 13.965126050420167)
(13.008282352941176, 12.672783193277311)
(13.0, 12.541596638655463)
(13.471650420168068, 12.502107563025211)
(14.340336134453782, 12.5)
(14.552941176470588, 13.331932773109244)
(15.706, 13.339919327731092)
(15.826168067226892, 13.353895798319327)
(15.92563025210084, 13.415126050420168)
(16.06606050420168, 14.047727731092436)
(16.073529411764707, 14.362605042016806)
(15.337361344537815, 14.429381512605042)
(14.18855462184874, 14.415405042016808)
(13.878151260504202, 14.376470588235295)
(None, None)
(15.440336134453782, 14.344117647058823)
(None, None)
(16.031932773109244, 14.339495798319328)
(15.83781512605042, 13.452100840336135)
(14.511344537815127, 13.36890756302521)
(14.257142857142856, 12.569327731092438)
(13.101680672268907, 12.55546218487395)
(13.248211764705882, 13.201448739495799)
(13.46218487394958, 13.91890756302521)
(13.677895798319328, 14.16301512605042)
(14.027603361344537, 14.316608403361345)
(14.24327731092437, 14.353361344537815)
(15.440336134453782, 14.344117647058823)
(None, None)
(None, None)
