(3.054555744243922, 14.405969781846391)
(2.0, 14.996351347078388)
(2.2329318197384445, 16.19192049654841)
(3.1469023338569135, 16.448152463325336)
(3.875424578276301, 15.87338201493824)
(3.837667979626769, 14.922662069883357)
(3.0545557442439213, 14.405969781846391)
(None, None)
(2.835038625162909, 16.013407446149706)
(None, None)
(2.3606706901808625, 15.522514670525476)
(2.682818624602136, 14.914645328902786)
(3.2181137218700346, 14.927119503751548)
(3.515870235098813, 15.35597727756371)
(3.3406006430769866, 15.861734483287178)
(2.835038625162906, 16.013407446149706)
(None, None)
(12.112684554404892, 13.682618077714332)
(None, None)
(10.647349425320781, 13.847277531550406)
(10.563021651682789, 14.107645065976179)
(12.564329917048063, 16.260538591106076)
(12.908612301220245, 16.03337480630109)
(11.265740994531868, 14.220517154659005)
(12.801379009901135, 13.936620566725871)
(12.08385250679909, 12.942962796512816)
(11.611815482226817, 12.908176206557526)
(12.112684554404897, 13.682618077714332)
(None, None)
(6.368754139569834, 13.819524481048237)
(None, None)
(5.85467461535273, 13.29549051688528)
(5.615470294951633, 13.58028038992056)
(6.5295707037214195, 14.603753236350661)
(8.29815347296108, 15.6137304919238)
(10.809864372413376, 15.968191553773243)
(11.54461160012297, 15.855266933148096)
(11.188360993910557, 15.464908605991427)
(8.055277104083569, 15.019006827930687)
(6.368754139569832, 13.819524481048234)
(None, None)
(12.624040994264936, 15.009577015743238)
(None, None)
(12.940953164407295, 15.341316750250463)
(13.90644841855065, 14.662089456841409)
(15.330017713913941, 12.850925035237504)
(15.973211691547627, 9.99976233864622)
(17.17080717682834, 7.379855350459267)
(16.606130296763627, 6.831288727149601)
(15.520387386235774, 6.816158905262756)
(15.490544816342526, 4.927753507664351)
(15.092612067851297, 3.9478602130031613)
(12.303274521968723, 3.428283682708396)
(11.969615417613682, 2.1972185372706745)
(11.5362500642346, 2.181705187246679)
(12.064810282914344, 3.8730455971622257)
(14.817971684238293, 4.348761241026603)
(15.061727159089346, 7.274992048611689)
(16.713293038272116, 7.429881737006188)
(15.500372335795733, 9.928261488910106)
(14.903741924837586, 12.68216158825116)
(12.624040994264936, 15.009577015743249)
(None, None)
(3.3546950427432285, 12.970246552441385)
(None, None)
(2.993481672352421, 13.078109950402432)
(3.5343120939284516, 13.683737537209355)
(4.950507896584486, 14.00580088102436)
(4.967787066868478, 13.604070892726108)
(3.3546950427432263, 12.970246552441386)
(None, None)
(5.479921629639799, 10.157980663938956)
(None, None)
(4.50801153021589, 10.398743650989443)
(4.010818656503088, 11.039117365360273)
(3.9740670468225225, 11.831573646494125)
(4.383480739495321, 12.528584333833681)
(5.224783772842606, 12.88262126682161)
(6.478314882974674, 12.158440948247142)
(6.606902979470839, 11.124539006895313)
(7.669352694191552, 10.221116865295064)
(7.8035695589116845, 9.381500456587014)
(8.607628863066076, 10.320115887050852)
(8.759506697045333, 11.397320887163785)
(13.506605291854138, 11.257900628077852)
(13.236310292410101, 10.939016521562113)
(9.187461156615601, 10.950109787617667)
(8.89367652855838, 9.835275801012653)
(8.062049194238504, 8.977058796401066)
(6.368754139569834, 8.990666609873458)
(5.359874556050202, 8.599011411198)
(6.194153041586897, 6.625371121563256)
(8.216376213310049, 4.385873899738006)
(7.662389012884244, 2.0)
(7.706527256903449, 4.443684973721735)
(5.9137106277150195, 6.236013979219102)
(4.91448564744609, 8.57099898639207)
(3.683621465218928, 8.820707620262988)
(2.3196707714874156, 10.426987091841918)
(2.1540114124187335, 11.22652982478686)
(2.444579453276941, 11.677580701525818)
(2.8138070746550037, 10.356508522695016)
(4.065580802837767, 9.171769011238203)
(4.9418730147632015, 9.014794299273888)
(6.475875727022129, 9.381500456587014)
(5.479921629639799, 10.157980663938952)
(None, None)
(5.183154197089355, 12.418384492144375)
(None, None)
(4.637232845845631, 12.143259251499547)
(4.475666171207573, 11.087218502908506)
(6.6014263775050805, 10.15390260821906)
(6.929045864738998, 9.224146712306808)
(7.340110907145724, 9.224146712306808)
(7.281099448884192, 9.960210178149872)
(6.087419478093024, 11.006739843938291)
(6.072224985546443, 11.982402224956575)
(5.183154197089362, 12.418384492144376)
(None, None)
(2.652776301911753, 12.103547316432081)
(None, None)
(2.470139303833008, 12.531588579936013)
(2.8772450493677173, 12.3668156930711)
(2.6527763019117536, 12.103547316432074)
(None, None)
(11.113574736326832, 11.877632297858357)
(None, None)
(10.840468119430057, 12.177112439793712)
(11.21481717289393, 12.266347921091219)
(11.113574736326834, 11.877632297858364)
(None, None)
(None, None)
